source,target,weight
bogna kicinska,rick rosato,1
bogna kicinska,jerad lippi,1
glenn zaleski,jerad lippi,1
rick rosato,jerad lippi,1
yotam silberstein,aaron goldberg,2
yotam silberstein,rick rosato,1
yotam silberstein,ofri nehemya,1
aaron goldberg,rick rosato,1
aaron goldberg,ofri nehemya,1
rick rosato,ofri nehemya,1
remy le,jonathan saraga,2
remy le,chris pattishall,2
remy le,aki ishiguro,1
remy le,rick rosato,1
remy le,kenneth salters,2
jonathan saraga,chris pattishall,2
jonathan saraga,aki ishiguro,1
jonathan saraga,rick rosato,1
jonathan saraga,kenneth salters,2
chris pattishall,aki ishiguro,1
chris pattishall,rick rosato,1
chris pattishall,kenneth salters,2
aki ishiguro,rick rosato,1
aki ishiguro,kenneth salters,1
rick rosato,kenneth salters,1
phil markowitz,jay anderson,1
phil markowitz,clarence penn,1
jay anderson,clarence penn,1
patrick cornelius,samora pinderhughes,1
patrick cornelius,matt brewer,1
patrick cornelius,clarence penn,1
samora pinderhughes,matt brewer,1
samora pinderhughes,clarence penn,1
matt brewer,clarence penn,3
uri caine,mark helias,3
uri caine,clarence penn,3
mark helias,clarence penn,3
gerry gibbs,johnathan blake,1
gerry gibbs,clarence penn,1
gerry gibbs,vic juris,1
gerry gibbs,kyle koehler,1
gerry gibbs,alex collins,1
gerry gibbs,corcoran holt,1
gerry gibbs,wayne escoffery,1
johnathan blake,clarence penn,1
johnathan blake,vic juris,1
johnathan blake,kyle koehler,1
johnathan blake,alex collins,1
johnathan blake,corcoran holt,1
johnathan blake,wayne escoffery,1
clarence penn,vic juris,1
clarence penn,kyle koehler,1
clarence penn,alex collins,1
clarence penn,corcoran holt,1
clarence penn,wayne escoffery,1
vic juris,kyle koehler,1
vic juris,alex collins,1
vic juris,corcoran holt,1
vic juris,wayne escoffery,1
kyle koehler,alex collins,1
kyle koehler,corcoran holt,1
kyle koehler,wayne escoffery,1
alex collins,corcoran holt,1
alex collins,wayne escoffery,1
corcoran holt,wayne escoffery,1
theo hill,myron walden,3
theo hill,clarence penn,1
theo hill,yasushi nakamura,1
myron walden,clarence penn,1
myron walden,yasushi nakamura,1
clarence penn,yasushi nakamura,4
clarence penn,mike rodriguez,2
clarence penn,chad lefkowitz,2
clarence penn,manuel valera,2
mike rodriguez,chad lefkowitz,2
mike rodriguez,manuel valera,2
mike rodriguez,yasushi nakamura,3
chad lefkowitz,manuel valera,2
chad lefkowitz,yasushi nakamura,2
manuel valera,yasushi nakamura,2
luis perdomo,mark shim,3
luis perdomo,mimi jones,2
luis perdomo,clarence penn,2
mark shim,mimi jones,2
mark shim,clarence penn,2
mimi jones,clarence penn,2
yotam silberstein,yasushi nakamura,1
yotam silberstein,clarence penn,1
aaron goldberg,yasushi nakamura,1
aaron goldberg,clarence penn,1
lage lund,mark turner,4
lage lund,clarence penn,2
mark turner,matt brewer,3
mark turner,clarence penn,2
joel frahm,doug weiss,2
joel frahm,matt wilson,1
doug weiss,matt wilson,1
spike wilner,doug weiss,1
spike wilner,eric mcpherson,1
doug weiss,eric mcpherson,1
brandon lee,adam birnbaum,1
brandon lee,doug weiss,1
brandon lee,aaron kimmel,1
adam birnbaum,doug weiss,2
adam birnbaum,aaron kimmel,2
doug weiss,aaron kimmel,3
tim ries,gregoire maret,1
tim ries,bruce barth,1
tim ries,doug weiss,1
tim ries,billy drummond,1
gregoire maret,bruce barth,1
gregoire maret,doug weiss,1
gregoire maret,billy drummond,1
bruce barth,doug weiss,1
bruce barth,billy drummond,1
doug weiss,billy drummond,2
owen howard,jason rigby,1
owen howard,doug weiss,1
jason rigby,doug weiss,1
robert edwards,joe magnarelli,1
robert edwards,doug weiss,1
robert edwards,aaron kimmel,1
robert edwards,adam birnbaum,1
joe magnarelli,doug weiss,1
joe magnarelli,aaron kimmel,1
joe magnarelli,adam birnbaum,1
greg skaff,doug weiss,1
greg skaff,rodney green,1
doug weiss,rodney green,1
bill mchenry,doug weiss,1
bill mchenry,steve williams,1
doug weiss,steve williams,1
ray gallon,doug weiss,1
ray gallon,aaron kimmel,1
joel frahm,anthony pinciotti,1
doug weiss,anthony pinciotti,3
ralph lalama,doug weiss,2
ralph lalama,clifford barbaro,2
doug weiss,clifford barbaro,2
roberto gatto,donny mccaslin,1
roberto gatto,sam yahel,1
roberto gatto,doug weiss,1
donny mccaslin,sam yahel,1
donny mccaslin,doug weiss,1
sam yahel,doug weiss,3
david bixler,scott wendholt,1
david bixler,john hart,1
david bixler,doug weiss,1
david bixler,andy watson,1
scott wendholt,john hart,1
scott wendholt,doug weiss,1
scott wendholt,andy watson,1
john hart,doug weiss,1
john hart,andy watson,1
doug weiss,andy watson,1
doug weiss,peter zak,1
billy drummond,peter zak,1
eli degibri,aaron goldberg,1
eli degibri,doug weiss,1
eli degibri,obed calvaire,1
aaron goldberg,doug weiss,1
aaron goldberg,obed calvaire,1
doug weiss,obed calvaire,1
alex graham,sam yahel,2
alex graham,doug weiss,2
alex graham,anthony pinciotti,2
sam yahel,anthony pinciotti,3
ricardo grilli,chris potter,1
ricardo grilli,taylor eigsti,1
chris potter,taylor eigsti,1
chris potter,joe martin,1
chris potter,eric harland,1
taylor eigsti,joe martin,1
taylor eigsti,eric harland,3
ricardo grilli,mark turner,1
ricardo grilli,kevin hays,1
mark turner,kevin hays,2
mark turner,eric harland,1
kevin hays,joe martin,6
kevin hays,eric harland,1
taylor eigsti,harish raghavan,2
harish raghavan,eric harland,4
harish raghavan,fabian almazan,2
harish raghavan,matt stevens,2
logan richardson,fabian almazan,2
logan richardson,matt stevens,3
logan richardson,eric harland,2
fabian almazan,matt stevens,2
fabian almazan,eric harland,2
matt stevens,eric harland,2
joe sanders,john ellis,4
joe sanders,eric harland,1
john ellis,aaron parks,1
john ellis,eric harland,1
remy le,pascal le,2
remy le,dayna stephens,1
remy le,martin nevin,1
remy le,jochen rueckert,1
pascal le,dayna stephens,1
pascal le,martin nevin,1
pascal le,jochen rueckert,1
dayna stephens,martin nevin,1
dayna stephens,jochen rueckert,3
martin nevin,jochen rueckert,1
jonathan saraga,jeff miles,1
jonathan saraga,harish raghavan,1
remy le,jeff miles,1
remy le,harish raghavan,1
chris pattishall,jeff miles,1
chris pattishall,harish raghavan,1
kenneth salters,jeff miles,1
kenneth salters,harish raghavan,1
jeff miles,harish raghavan,1
remy le,ben wendel,1
remy le,sam harris,1
remy le,linda oh,2
remy le,justin brown,1
ben wendel,sam harris,1
ben wendel,linda oh,1
ben wendel,justin brown,3
sam harris,linda oh,1
sam harris,justin brown,2
linda oh,justin brown,1
remy le,mike ruby,1
remy le,greg ritchie,1
pascal le,mike ruby,1
pascal le,linda oh,1
pascal le,greg ritchie,1
mike ruby,linda oh,1
mike ruby,greg ritchie,1
linda oh,greg ritchie,1
alex sipiagin,seamus blake,2
alex sipiagin,matt brewer,3
alex sipiagin,john escreet,3
seamus blake,donald edwards,2
seamus blake,matt brewer,2
seamus blake,john escreet,2
donald edwards,matt brewer,3
donald edwards,john escreet,3
matt brewer,john escreet,3
matt brewer,marquis hill,1
matt brewer,david virelles,1
matt brewer,damion reid,1
mark turner,marquis hill,1
mark turner,david virelles,1
mark turner,damion reid,1
marquis hill,david virelles,1
marquis hill,damion reid,1
david virelles,damion reid,1
john ellis,mike rodriguez,2
john ellis,gary versace,4
john ellis,matt brewer,2
john ellis,craig weinrib,2
mike rodriguez,gary versace,2
mike rodriguez,matt brewer,5
mike rodriguez,craig weinrib,5
gary versace,matt brewer,2
gary versace,craig weinrib,2
matt brewer,craig weinrib,5
matt brewer,mark shim,3
matt brewer,ben monder,2
mark shim,mike rodriguez,4
mark shim,ben monder,2
mark shim,craig weinrib,3
mike rodriguez,ben monder,2
ben monder,craig weinrib,2
logan richardson,matt brewer,1
logan richardson,justin brown,1
matt stevens,sam harris,1
matt stevens,matt brewer,1
matt stevens,justin brown,1
sam harris,matt brewer,1
matt brewer,justin brown,1
lage lund,mike rodriguez,1
lage lund,craig weinrib,2
lage lund,mark shim,1
jure pukl,matt nowak,1
jure pukl,matt brewer,1
jure pukl,johnathan blake,1
matt nowak,matt brewer,1
matt nowak,johnathan blake,1
matt brewer,johnathan blake,1
lage lund,sullivan fortner,2
sullivan fortner,matt brewer,2
sullivan fortner,tyshawn sorey,2
lage lund,glenn zaleski,2
glenn zaleski,matt brewer,1
glenn zaleski,tyshawn sorey,1
matt brewer,ismail lawal,1
alex sipiagin,dave binney,1
dave binney,john escreet,1
dave binney,matt brewer,1
dave binney,donald edwards,1
shauli einav,nitzan gabrieli,1
shauli einav,edward perez,1
shauli einav,peter kronreif,1
nitzan gabrieli,edward perez,1
nitzan gabrieli,peter kronreif,1
edward perez,peter kronreif,1
brian lynch,emmet cohen,2
brian lynch,luques curtis,2
brian lynch,billy hart,2
emmet cohen,luques curtis,2
emmet cohen,billy hart,2
luques curtis,billy hart,2
john raymond,dan tepfer,1
john raymond,rick rosato,1
john raymond,billy hart,1
dan tepfer,rick rosato,1
dan tepfer,billy hart,1
rick rosato,billy hart,1
roberta piket,harvie s,1
roberta piket,billy hart,2
harvie s,billy hart,1
jean michel,boris kozlov,6
jean michel,billy hart,8
boris kozlov,billy hart,6
roberta piket,dwayne burno,1
dwayne burno,billy hart,1
francois moutin,billy hart,2
francois moutin,jean michel,2
tom guarna,billy hart,2
tom guarna,mark turner,1
tom guarna,donald vega,1
tom guarna,josh ginsburg,1
billy hart,mark turner,4
billy hart,donald vega,1
billy hart,josh ginsburg,1
mark turner,donald vega,1
mark turner,josh ginsburg,1
donald vega,josh ginsburg,1
billy hart,ethan iverson,3
mark turner,ethan iverson,3
mark turner,ben street,5
ethan iverson,ben street,4
tom guarna,peter zak,1
tom guarna,ugonna okegwo,1
peter zak,ugonna okegwo,1
peter zak,billy hart,1
ugonna okegwo,billy hart,1
sam yahel,ben street,1
ben street,anthony pinciotti,1
amos hoffman,itai kriss,1
amos hoffman,ben street,1
amos hoffman,eric mcpherson,1
itai kriss,ben street,1
itai kriss,eric mcpherson,1
ben street,eric mcpherson,4
ethan iverson,dayna stephens,1
ethan iverson,eric mcpherson,1
dayna stephens,ben street,1
dayna stephens,eric mcpherson,1
ray gallon,ben street,1
ray gallon,peter van,1
ben street,peter van,1
chris potter,kevin hays,2
chris potter,ben street,2
chris potter,eric mcpherson,2
kevin hays,ben street,2
kevin hays,eric mcpherson,2
ben van,mark turner,2
ben van,ben street,1
ben van,marcus gilmore,1
mark turner,marcus gilmore,2
ben street,marcus gilmore,6
francisco mela,donny mccaslin,1
francisco mela,luis perdomo,1
francisco mela,ben street,1
donny mccaslin,luis perdomo,1
donny mccaslin,ben street,1
luis perdomo,ben street,1
aaron parks,rj miller,1
ben street,rj miller,1
lage lund,ben street,4
glenn zaleski,ben street,1
glenn zaleski,craig weinrib,1
ben street,craig weinrib,1
gilad hekselman,marcus gilmore,1
gilad hekselman,ben street,1
marco pignataro,matt marvuglio,1
marco pignataro,kevin harris,1
marco pignataro,ben street,1
marco pignataro,marcello pellitteri,1
matt marvuglio,kevin harris,1
matt marvuglio,ben street,1
matt marvuglio,marcello pellitteri,1
kevin harris,ben street,1
kevin harris,marcello pellitteri,1
ben street,marcello pellitteri,1
lage lund,pete rende,2
pete rende,ben street,3
pete rende,marcus gilmore,2
jerome sabbagh,ben street,1
jerome sabbagh,rodney green,1
ben street,rodney green,1
pete rende,andrew cyrille,1
pete rende,bill mchenry,1
andrew cyrille,bill mchenry,1
andrew cyrille,ben street,1
bill mchenry,ben street,1
pete malinverni,richie vitale,1
pete malinverni,neal miner,1
pete malinverni,francesco ciniglio,1
richie vitale,neal miner,1
richie vitale,francesco ciniglio,1
neal miner,francesco ciniglio,1
philip dizack,itai kriss,1
philip dizack,immanuel wilkins,1
philip dizack,shai maestro,1
philip dizack,dan weisselberg,1
philip dizack,francesco ciniglio,1
itai kriss,immanuel wilkins,1
itai kriss,shai maestro,1
itai kriss,dan weisselberg,1
itai kriss,francesco ciniglio,1
immanuel wilkins,shai maestro,1
immanuel wilkins,dan weisselberg,1
immanuel wilkins,francesco ciniglio,1
shai maestro,dan weisselberg,1
shai maestro,francesco ciniglio,1
dan weisselberg,francesco ciniglio,1
francesco ciniglio,adam ofarrill,1
francesco ciniglio,francesco geminiani,1
francesco ciniglio,kasperi sarikoski,1
francesco ciniglio,addison frei,1
francesco ciniglio,simon willson,1
adam ofarrill,francesco geminiani,1
adam ofarrill,kasperi sarikoski,1
adam ofarrill,addison frei,1
adam ofarrill,simon willson,1
francesco geminiani,kasperi sarikoski,1
francesco geminiani,addison frei,1
francesco geminiani,simon willson,1
kasperi sarikoski,addison frei,1
kasperi sarikoski,simon willson,1
addison frei,simon willson,1
julius rodriguez,jason clotter,1
julius rodriguez,francesco ciniglio,1
jason clotter,francesco ciniglio,1
hillel salem,eitan gofman,1
hillel salem,miki yamanaka,2
